Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-19,29.1254,29.8055,29.1155,29.7463,80902612,67.4027,68.8756,67.4027,68.5537,15531636,250.2415,252.3695,249.0888,250.409,3990014,107.3089,109.6015,107.2795,109.4545,17910955,52.0618,53.4961,52.0423,53.3692,13873694,48.9254,49.9909,48.906,49.9231,23678427
2018-04-20,29.8252,30.0913,29.6971,29.8252,65554554,68.6708,69.1012,68.0367,68.2806,17629879,250.34,251.8966,247.7588,248.2317,2930638,110.0228,110.4538,108.6316,109.2096,15584384,53.5546,53.9839,52.7831,53.1351,10183582,50.3009,51.1629,50.1943,50.9111,31149270
2018-04-23,29.835,29.9632,29.6872,29.8843,50686347,68.2806,68.544,67.6953,67.7734,11596358,247.9361,249.01,242.547,243.0199,3775874,109.3076,109.6799,108.3866,108.6805,11285831,53.2229,53.2619,52.0327,52.335,8523564,50.9014,51.1823,50.5382,50.9595,17723926
2018-04-24,30.0223,30.4166,29.5689,29.7562,81486781,68.0465,68.8854,66.72,67.4222,16233651,245.1381,245.4632,236.488,238.9018,4705066,109.4839,110.6106,107.3677,108.1711,16453112,52.6472,53.2863,51.1593,51.7789,10742663,51.2889,52.0589,50.543,50.8627,23052062
2018-04-25,29.6576,29.904,29.3718,29.7069,65857332,67.0808,68.0514,66.3785,67.6563,16058322,238.6062,238.8739,233.9955,235.69,5039886,108.0339,108.2887,106.3978,107.7596,13546110,51.5642,51.5838,50.5593,50.7739,12621285,50.7949,51.8119,50.296,51.4438,20977919
2018-04-26,29.6084,29.8449,29.5591,29.6379,45936713,67.4124,67.8807,67.2076,67.4807,13829682,235.7294,238.0841,234.4881,236.5373,2891094,107.74,108.5728,107.1228,107.8674,10299488,50.7447,51.3203,50.4129,50.9301,14668929,51.3276,51.4438,50.6157,50.7949,17025831
2018-04-27,29.5591,29.7759,29.5394,29.7168,47411234,67.3051,67.7321,67.0515,67.2954,10420057,236.4486,238.349,235.4831,236.2516,2136781,107.3285,107.9261,106.917,107.1816,9383967,50.8222,51.479,50.7634,50.8418,7784472,50.6399,51.2792,50.5672,50.7174,12304308
2018-04-30,29.835,29.9927,29.4901,29.4901,55153947,67.5002,67.8807,66.5736,66.5931,12237893,237.4043,239.4732,234.695,234.8033,2790458,107.5245,108.0633,106.5448,106.5741,13744860,51.1555,51.4692,50.5673,50.6065,8209733,50.9111,51.3857,50.3299,50.3299,17050544
2018-05-01,29.4901,29.5295,29.1944,29.5196,52871713,66.5638,66.6126,65.7649,66.5736,11602713,233.9955,234.3797,230.498,233.1679,3269793,106.2508,106.7603,105.3593,106.5741,10503353,50.381,50.8516,50.0281,50.7928,8498274,50.1362,50.9498,49.9812,50.9111,13903801
2018-05-02,29.5196,29.6379,29.1352,29.155,68234557,66.2809,67.3247,66.0859,66.32,15287274,233.0989,234.3846,229.966,230.5867,3710850,105.9177,107.2697,105.5454,105.7316,12162086,50.783,51.5158,50.484,50.6849,8930984,50.7367,51.2114,50.4268,50.5527,16397171
2018-05-03,29.086,29.0958,28.0215,28.7804,110672740,66.1346,66.5541,64.9153,66.2712,16325538,229.0103,230.5374,224.0351,229.9561,4511425,105.4083,105.5846,103.0481,105.0654,15379091,50.3614,50.4301,48.9056,50.0771,11437990,50.377,50.543,49.5866,50.299,19216107
2018-05-04,28.5734,28.9973,28.4059,28.879,58281856,65.7126,66.9082,65.6341,66.5848,12511986,228.8724,233.2861,228.8429,231.4635,2622252,104.2718,106.535,103.8309,106.2312,11967906,49.7242,50.7536,49.533,50.3908,10368650,49.9379,51.6262,49.8403,51.148,16660471
2018-05-07,29.017,29.3599,28.9086,29.2141,46765219,66.9082,67.2953,66.7808,67.1336,11801841,232.5078,234.6456,231.7935,233.6901,1979446,106.5545,107.4559,106.1627,107.1522,9356721,50.6261,51.5967,50.5183,51.3614,6576064,51.6945,51.7141,51.1187,51.392,16259095
2018-05-08,29.3422,29.6921,29.2387,29.4999,65119831,68.2607,70.0248,68.0059,69.5838,23603166,234.7147,237.0989,232.5078,233.493,3267002,107.3089,109.0822,107.064,108.7393,12543228,51.5281,52.7045,51.3614,52.332,11578140,51.4506,52.4167,51.3627,51.9092,20786179
